LGA_NAME,SUBURB_NAME,,,,,,,,,,,,,,,,,,,,,,,,,
MID-COAST,BAXTERS RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BEACHES,BAYVIEW,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BEACHES,BEACON HILL,,,,,,,,,,,,,,,,,,,,,,,,,
SYDNEY,BEACONSFIELD,,,,,,,,,,,,,,,,,,,,,,,,,
KYOGLE,BEAN CREEK,,,,,,,,,,,,,,,,,,,,,,,,,
GILGANDRA,BEARBONG,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BEAUMONT,,,,,,,,,,,,,,,,,,,,,,,,,
THE HILLS SHIRE,BEAUMONT HILLS,,,,,,,,,,,,,,,,,,,,,,,,,
BLAND,BECKOM,,,,,,,,,,,,,,,,,,,,,,,,,
TAMWORTH REGIONAL,BECTIVE,,,,,,,,,,,,,,,,,,,,,,,,,
TEMORA,BECTRIC,,,,,,,,,,,,,,,,,,,,,,,,,
FORBES,BEDGERABONG,,,,,,,,,,,,,,,,,,,,,,,,,
PORT MACQUARIE-HASTINGS,BEECHWOOD,,,,,,,,,,,,,,,,,,,,,,,,,
PARRAMATTA,BEECROFT,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BEECROFT PENINSULA,,,,,,,,,,,,,,,,,,,,,,,,,
GRIFFITH,BEELBANGERA,,,,,,,,,,,,,,,,,,,,,,,,,
WARREN,BEEMUNNEL,,,,,,,,,,,,,,,,,,,,,,,,,
BEGA VALLEY,BEGA,,,,,,,,,,,,,,,,,,,,,,,,,
HILLTOPS,BEGGAN BEGGAN,,,,,,,,,,,,,,,,,,,,,,,,,
WINGECARRIBEE,BELANGLO,,,,,,,,,,,,,,,,,,,,,,,,,
MID-COAST,BELBORA,,,,,,,,,,,,,,,,,,,,,,,,,
CANTERBURY-BANKSTOWN,BELFIELD,,,,,,,,,,,,,,,,,,,,,,,,,
SINGLETON,BELFORD,,,,,,,,,,,,,,,,,,,,,,,,,
WAGGA WAGGA,BELFRAYDEN,,,,,,,,,,,,,,,,,,,,,,,,,
CABONNE,BELGRAVIA,,,,,,,,,,,,,,,,,,,,,,,,,
WOLLONDILLY,BELIMBLA PARK,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE MOUNTAINS,BELL,,,,,,,,,,,,,,,,,,,,,,,,,
THE HILLS SHIRE,BELLA VISTA,,,,,,,,,,,,,,,,,,,,,,,,,
WOLLONGONG,BELLAMBI,,,,,,,,,,,,,,,,,,,,,,,,,
PORT MACQUARIE-HASTINGS,BELLANGRY,,,,,,,,,,,,,,,,,,,,,,,,,
MOREE PLAINS,BELLATA,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BELLAWONGARAH,,,,,,,,,,,,,,,,,,,,,,,,,
CESSNOCK,BELLBIRD,,,,,,,,,,,,,,,,,,,,,,,,,
CESSNOCK,BELLBIRD HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,
KEMPSEY,BELLBROOK,,,,,,,,,,,,,,,,,,,,,,,,,
WOOLLAHRA,BELLEVUE HILL,,,,,,,,,,,,,,,,,,,,,,,,,
KEMPSEY,BELLIMBOPINNI,,,,,,,,,,,,,,,,,,,,,,,,,
BELLINGEN,BELLINGEN,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER LACHLAN SHIRE,BELLMOUNT FOREST,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER HUNTER SHIRE,BELLTREES,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE MACQUARIE,BELMONT,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE MACQUARIE,BELMONT NORTH,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE MACQUARIE,BELMONT SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,
CANTERBURY-BANKSTOWN,BELMORE,,,,,,,,,,,,,,,,,,,,,,,,,
KEMPSEY,BELMORE RIVER,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY MONARO REGIONAL,BELOKA,,,,,,,,,,,,,,,,,,,,,,,,,
EUROBODALLA,BELOWRA,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN BEACHES,BELROSE,,,,,,,,,,,,,,,,,,,,,,,,,
BEGA VALLEY,BEMBOKA,,,,,,,,,,,,,,,,,,,,,,,,,
LITHGOW,BEN BULLEN,,,,,,,,,,,,,,,,,,,,,,,,,
ARMIDALE REGIONAL,BEN LOMOND,,,,,,,,,,,,,,,,,,,,,,,,,
EUROBODALLA,BENANDARAH,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BENDALONG,,,,,,,,,,,,,,,,,,,,,,,,,
TAMWORTH REGIONAL,BENDEMEER,,,,,,,,,,,,,,,,,,,,,,,,,
HILLTOPS,BENDICK MURRELL,,,,,,,,,,,,,,,,,,,,,,,,,
DUNGOG,BENDOLBA,,,,,,,,,,,,,,,,,,,,,,,,,
QUEANBEYAN-PALERANG REGIONAL,BENDOURA,,,,,,,,,,,,,,,,,,,,,,,,,
CARRATHOOL,BENEREMBAH,,,,,,,,,,,,,,,,,,,,,,,,,
MUSWELLBROOK,BENGALLA,,,,,,,,,,,,,,,,,,,,,,,,,
LAKE MACQUARIE,BENNETTS GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
DUBBO REGIONAL,BENOLONG,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL COAST,BENSVILLE,,,,,,,,,,,,,,,,,,,,,,,,,
KYOGLE,BENTLEY,,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND,BERALA,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE MOUNTAINS,BERAMBING,,,,,,,,,,,,,,,,,,,,,,,,,
NEWCASTLE,BERESFIELD,,,,,,,,,,,,,,,,,,,,,,,,,
EUROBODALLA,BERGALIA,,,,,,,,,,,,,,,,,,,,,,,,,
WOLLONGONG,BERKELEY,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL COAST,BERKELEY VALE,,,,,,,,,,,,,,,,,,,,,,,,,
HAWKESBURY,BERKSHIRE PARK,,,,,,,,,,,,,,,,,,,,,,,,,
QUEANBEYAN-PALERANG REGIONAL,BERLANG,,,,,,,,,,,,,,,,,,,,,,,,,
BEGA VALLEY,BERMAGUI,,,,,,,,,,,,,,,,,,,,,,,,,
HORNSBY,BEROWRA,,,,,,,,,,,,,,,,,,,,,,,,,
HORNSBY,BEROWRA HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,
HORNSBY,BEROWRA WATERS,,,,,,,,,,,,,,,,,,,,,,,,,
BEGA VALLEY,BERRAMBOOL,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BERRARA,,,,,,,,,,,,,,,,,,,,,,,,,
HILLTOPS,BERREMANGRA,,,,,,,,,,,,,,,,,,,,,,,,,
MID-COAST,BERRICO,,,,,,,,,,,,,,,,,,,,,,,,,
SNOWY MONARO REGIONAL,BERRIDALE,,,,,,,,,,,,,,,,,,,,,,,,,
MOREE PLAINS,BERRIGAL,,,,,,,,,,,,,,,,,,,,,,,,,
BERRIGAN,BERRIGAN,,,,,,,,,,,,,,,,,,,,,,,,,
HORNSBY,BERRILEE,,,,,,,,,,,,,,,,,,,,,,,,,
WINGECARRIBEE,BERRIMA,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BERRINGER LAKE,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BERRY,,,,,,,,,,,,,,,,,,,,,,,,,
COOLAMON,BERRY JERRY,,,,,,,,,,,,,,,,,,,,,,,,,
SHOALHAVEN,BERRY MOUNTAIN,,,,,,,,,,,,,,,,,,,,,,,,,
MAITLAND,BERRY PARK,,,,,,,,,,,,,,,,,,,,,,,,,
HILLTOPS,BERTHONG,,,,,,,,,,,,,,,,,,,,,,,,,
